customerId,customerName,id,lineOfBusinessCode,totalPremium,effectiveDate,cancellationDate,expirationDate,RenewalDate,renewalPremium,numberOfEmployees,businessIndustry,annualRevenue,paymentMethod,claimsCount,claimAmount,durationInMonths,RenewalStatus
1,Melissa Reed,1001,GL,4370.86,2020-01-31,2020-05-04,2021-01-31,,4233.24,57,Construction,4912691.8,ACH Transfer,1,3870.86,12,0
2,Shelly Simmons,1002,GL,9556.43,2020-02-29,,2021-02-28,2021-03-01,9596.47,72,Consulting,9215322.54,Credit Card,1,9056.43,12,1
3,Amy Dudley,1003,GL,7587.95,2020-03-31,,2021-03-31,2021-04-01,7870.94,7,Construction,496585.28,ACH Transfer,0,7087.95,12,1
4,James Gonzales,1004,GL,6387.93,2020-04-30,,2021-04-30,2021-05-01,6536.27,78,Retail,2985463.04,Credit Card,1,5887.93,12,1
5,Christina Walker,1005,GL,2404.17,2020-05-31,,2021-05-31,2021-06-01,2477.87,56,Technology,2154655.27,ACH Transfer,1,1904.17,12,1
6,Mr. Dennis Johnson Jr.,1006,GL,2403.95,2020-06-30,,2021-06-30,2021-07-01,2442.12,67,Retail,2457651.87,Cheque,0,1903.95,12,1
7,Jill Castro,1007,GL,1522.75,2020-07-31,2021-07-02,2021-07-31,,1552.03,16,Manufacturing,9093502.06,ACH Transfer,1,1022.75,12,0
8,Miss Priscilla Bradley,1008,GL,8795.59,2020-08-31,2021-07-26,2021-08-31,,9102.73,83,Manufacturing,4733883.64,Cheque,0,8295.59,12,0
9,James Calderon,1009,GL,6410.04,2020-09-30,,2021-09-30,2021-10-01,6249.58,51,Manufacturing,4716364.19,ACH Transfer,1,5910.04,12,1
10,John Thomas,1010,GL,7372.65,2020-10-31,2021-06-18,2021-10-31,,7364.85,82,Manufacturing,7629698.86,Cheque,0,6872.65,12,0
11,Casey Smith,1011,GL,1185.26,2020-11-30,2021-01-10,2021-11-30,,1152.22,80,Consulting,1629472.82,Credit Card,1,685.26,12,0
12,Peter Ramos,1012,GL,9729.19,2020-12-31,,2021-12-31,2022-01-01,10203.65,72,Technology,4923927.01,ACH Transfer,1,9229.19,12,1
13,Todd Mathews,1013,GL,8491.98,2021-01-31,,2022-01-31,2022-02-01,8869.07,97,Technology,4356853.62,Credit Card,1,7991.98,12,1
14,George Hickman,1014,GL,2911.05,2021-02-28,,2022-02-28,2022-03-01,2776.97,12,Retail,6009415.84,Cheque,1,2411.05,12,1
